Timestamp,Cos Solar Incidence (°),GHI (W/m2),PV Power Generation (W)
01/03/2021 00:00,-0.973239341,0,0
01/03/2021 00:15,-0.985060333,0,0
01/03/2021 00:30,-0.992689997,0,0
01/03/2021 00:45,-0.996095558,0,0
01/03/2021 01:00,-0.995262336,0,0
01/03/2021 01:15,-0.990193805,0,0
01/03/2021 01:30,-0.980911583,0,0
01/03/2021 01:45,-0.967455334,0,0
01/03/2021 02:00,-0.949882603,0,0
01/03/2021 02:15,-0.92826857,0,0
01/03/2021 02:30,-0.902705723,0,0
01/03/2021 02:45,-0.873303469,0,0
01/03/2021 03:00,-0.840187663,0,0
01/03/2021 03:15,-0.803500066,0,0
01/03/2021 03:30,-0.763397742,0,0
01/03/2021 03:45,-0.720052387,0,0
01/03/2021 04:00,-0.673649589,0,0
01/03/2021 04:15,-0.624388033,0,0
01/03/2021 04:30,-0.57247866,0,0
01/03/2021 04:45,-0.51814375,0,0
01/03/2021 05:00,-0.461615976,0,0
01/03/2021 05:15,-0.403137417,0,0
01/03/2021 05:30,-0.342958504,0,0
01/03/2021 05:45,-0.281336955,0,0
01/03/2021 06:00,-0.218536682,0,0
01/03/2021 06:15,-0.154826641,0,0
01/03/2021 06:30,-0.09047969,0,0
01/03/2021 06:45,-0.025771432,0,0
01/03/2021 07:00,0.039020991,0,0
01/03/2021 07:15,0.103620068,0,0
01/03/2021 07:30,0.167749102,59.56930421,50.09651006
01/03/2021 07:45,0.231133415,117.5146291,97.93961797
01/03/2021 08:00,0.293501512,180.8911999,149.3928323
01/03/2021 08:15,0.354586238,246.6040857,201.8004389
01/03/2021 08:30,0.414125938,15,12.161457
01/03/2021 08:45,0.471865571,19,15.2609919
01/03/2021 09:00,0.527557792,23,18.3000972
01/03/2021 09:15,0.580964031,27,21.3467562
01/03/2021 09:30,0.631855504,31,24.3531288
01/03/2021 09:45,0.680014187,35,27.319215
01/03/2021 10:00,0.725233764,39,30.2450148
01/03/2021 10:15,0.767320506,108,83.4834924
01/03/2021 10:30,0.806094093,117,89.8512615
01/03/2021 10:45,0.841388397,126,96.4456416
01/03/2021 11:00,0.873052192,104,79.3440648
01/03/2021 11:15,0.900949794,55,41.822319
01/03/2021 11:30,0.924961654,57,43.05609
01/03/2021 11:45,0.944984864,59,44.4182739
01/03/2021 12:00,0.960933595,85,63.778407
01/03/2021 12:15,0.972739473,79,59.0774877
01/03/2021 12:30,0.980351867,63,46.9537992
01/03/2021 12:45,0.983738107,63,46.9537992
01/03/2021 13:00,0.982883626,94,69.821367
01/03/2021 13:15,0.977792018,144,106.960392
01/03/2021 13:30,0.96848503,175.9369701,130.6825506
01/03/2021 13:45,0.955002463,151,111.7796526
01/03/2021 14:00,0.937402004,107,79.2080982
01/03/2021 14:15,0.915758984,85,63.1363425
01/03/2021 14:30,0.890166046,69,51.2518545
01/03/2021 14:45,0.860732754,66,49.1896944
01/03/2021 15:00,0.827585129,791.5508269,589.9415648
01/03/2021 15:15,0.790865098,747.136785,558.7210661
01/03/2021 15:30,0.750729894,698.5839154,524.1714033
01/03/2021 15:45,0.707351387,645.0267304,485.6097285
01/03/2021 16:00,0.660915335,589.991078,445.6615606
01/03/2021 16:15,0.611620598,531.6481745,404.2683555
01/03/2021 16:30,0.559678289,469.8570541,359.6481352
01/03/2021 16:45,0.50531086,409.5264111,315.5308444
01/03/2021 17:00,0.448751155,344.4307115,267.1105633
01/03/2021 17:15,0.390241419,278.3644706,217.978003
01/03/2021 17:30,0.330032248,212.7356081,168.1931541
01/03/2021 17:45,0.26838152,145.1798331,115.8788117
01/03/2021 18:00,0.205553302,85.64941194,69.01012938
01/03/2021 18:15,0.141816702,34.01800419,27.49491241
01/03/2021 18:30,0.07744472,0,0
01/03/2021 18:45,0.012713097,0,0
01/03/2021 19:00,-0.052100895,0,0
01/03/2021 19:15,-0.116719621,0,0
01/03/2021 19:30,-0.180866272,0,0
01/03/2021 19:45,-0.244266064,0,0
01/03/2021 20:00,-0.306647406,0,0
01/03/2021 20:15,-0.367743057,0,0
01/03/2021 20:30,-0.427291286,0,0
01/03/2021 20:45,-0.485036985,0,0
01/03/2021 21:00,-0.540732756,0,0
01/03/2021 21:15,-0.594139983,0,0
01/03/2021 21:30,-0.645029849,0,0
01/03/2021 21:45,-0.693184309,0,0
01/03/2021 22:00,-0.738397038,0,0
01/03/2021 22:15,-0.780474307,0,0
01/03/2021 22:30,-0.819235807,0,0
01/03/2021 22:45,-0.854515436,0,0
01/03/2021 23:00,-0.886162001,0,0
01/03/2021 23:15,-0.914039866,0,0
01/03/2021 23:30,-0.938029538,0,0
01/03/2021 23:45,-0.958028177,0,0
02/03/2021 00:00,-0.973950032,0,0
02/03/2021 00:15,-0.985726817,0,0
02/03/2021 00:30,-0.993307999,0,0
02/03/2021 00:45,-0.996661015,0,0
02/03/2021 01:00,-0.995771412,0,0
02/03/2021 01:15,-0.990642909,0,0
02/03/2021 01:30,-0.981297385,0,0
02/03/2021 01:45,-0.967774779,0,0
02/03/2021 02:00,-0.950132924,0,0
02/03/2021 02:15,-0.9284473,0,0
02/03/2021 02:30,-0.902810708,0,0
02/03/2021 02:45,-0.873332873,0,0
02/03/2021 03:00,-0.840139979,0,0
02/03/2021 03:15,-0.803374123,0,0
02/03/2021 03:30,-0.763192708,0,0
02/03/2021 03:45,-0.719767774,0,0
02/03/2021 04:00,-0.673285254,0,0
02/03/2021 04:15,-0.623944179,0,0
02/03/2021 04:30,-0.571955837,0,0
02/03/2021 04:45,-0.517542849,0,0
02/03/2021 05:00,-0.460938229,0,0
02/03/2021 05:15,-0.402384388,0,0
02/03/2021 05:30,-0.342132084,0,0
02/03/2021 05:45,-0.280439355,0,0
02/03/2021 06:00,-0.21757042,0,0
02/03/2021 06:15,-0.153794536,0,0
02/03/2021 06:30,-0.089384845,0,0
02/03/2021 06:45,-0.024617221,0,0
02/03/2021 07:00,0.040230933,0,0
02/03/2021 07:15,0.104881866,18.76125809,15.91953348
02/03/2021 07:30,0.169058657,63.03819775,53.17249917
02/03/2021 07:45,0.232486418,121.6951107,101.7301515
02/03/2021 08:00,0.294893469,184.2407825,152.623056
02/03/2021 08:15,0.356012483,250.3147781,205.467231
02/03/2021 08:30,0.415581658,15,12.161457
02/03/2021 08:45,0.473345824,19,15.2609919
02/03/2021 09:00,0.529057531,24,19.0957536
02/03/2021 09:15,0.582478124,28,22.0668756
