Timestamp,Day of the Week,Season,Daytime,Price (EUR/MWhe)
01/01/2015 00:00,3,0,0,48.1
01/01/2015 01:00,3,0,0,47.33
01/01/2015 02:00,3,0,0,42.27
01/01/2015 03:00,3,0,0,38.41
01/01/2015 04:00,3,0,0,35.72
01/01/2015 05:00,3,0,0,35.13
01/01/2015 06:00,3,0,0,36.22
01/01/2015 07:00,3,0,0,32.4
01/01/2015 08:00,3,0,1,36.6
01/01/2015 09:00,3,0,1,43.1
01/01/2015 10:00,3,0,1,45.14
01/01/2015 11:00,3,0,1,45.14
01/01/2015 12:00,3,0,1,47.35
01/01/2015 13:00,3,0,1,47.35
01/01/2015 14:00,3,0,1,43.61
01/01/2015 15:00,3,0,1,44.91
01/01/2015 16:00,3,0,1,48.1
01/01/2015 17:00,3,0,1,58.02
01/01/2015 18:00,3,0,0,61.01
01/01/2015 19:00,3,0,0,62.69
01/01/2015 20:00,3,0,0,60.41
01/01/2015 21:00,3,0,0,58.15
01/01/2015 22:00,3,0,0,53.6
01/01/2015 23:00,3,0,0,47.34
02/01/2015 00:00,4,0,0,40.4
02/01/2015 01:00,4,0,0,36
02/01/2015 02:00,4,0,0,37
02/01/2015 03:00,4,0,0,35.99
02/01/2015 04:00,4,0,0,37.98
02/01/2015 05:00,4,0,0,43.61
02/01/2015 06:00,4,0,0,56.1
02/01/2015 07:00,4,0,0,57.69
02/01/2015 08:00,4,0,1,60.01
02/01/2015 09:00,4,0,1,62.25
02/01/2015 10:00,4,0,1,60.01
02/01/2015 11:00,4,0,1,59.97
02/01/2015 12:00,4,0,1,59.69
02/01/2015 13:00,4,0,1,58.69
02/01/2015 14:00,4,0,1,58.13
02/01/2015 15:00,4,0,1,59
02/01/2015 16:00,4,0,1,59.69
02/01/2015 17:00,4,0,1,63.76
02/01/2015 18:00,4,0,0,65.01
02/01/2015 19:00,4,0,0,65.01
02/01/2015 20:00,4,0,0,61.75
02/01/2015 21:00,4,0,0,59.96
02/01/2015 22:00,4,0,0,58.69
02/01/2015 23:00,4,0,0,52.1
03/01/2015 00:00,5,0,0,47.84
03/01/2015 01:00,5,0,0,43.66
03/01/2015 02:00,5,0,0,43.66
03/01/2015 03:00,5,0,0,41.98
03/01/2015 04:00,5,0,0,43.93
03/01/2015 05:00,5,0,0,46.02
03/01/2015 06:00,5,0,0,50.92
03/01/2015 07:00,5,0,0,55.57
03/01/2015 08:00,5,0,1,58.1
03/01/2015 09:00,5,0,1,59.8
03/01/2015 10:00,5,0,1,59.51
03/01/2015 11:00,5,0,1,59
03/01/2015 12:00,5,0,1,58.13
03/01/2015 13:00,5,0,1,56.9
03/01/2015 14:00,5,0,1,52.69
03/01/2015 15:00,5,0,1,52.1
03/01/2015 16:00,5,0,1,56.1
03/01/2015 17:00,5,0,1,59
03/01/2015 18:00,5,0,0,59.8
03/01/2015 19:00,5,0,0,59.92
03/01/2015 20:00,5,0,0,59.51
03/01/2015 21:00,5,0,0,58.1
03/01/2015 22:00,5,0,0,56.1
03/01/2015 23:00,5,0,0,41.3
04/01/2015 00:00,6,0,0,40.19
04/01/2015 01:00,6,0,0,38.4
04/01/2015 02:00,6,0,0,36
04/01/2015 03:00,6,0,0,35
04/01/2015 04:00,6,0,0,35.5
04/01/2015 05:00,6,0,0,36
04/01/2015 06:00,6,0,0,36.49
04/01/2015 07:00,6,0,0,38.5
04/01/2015 08:00,6,0,1,41.86
04/01/2015 09:00,6,0,1,48.51
